COLUNANOME;REPOSITORIO;NOVONOME;INTERESSA
elevation;gbif;elevation;1
verbatimElevation;gbif;verbatimElevation;1
year;gbif;year;1
identificationQualifier;gbif;identificationQualifier;1
recordNumber;gbif;recordNumber;1
recordedBy;gbif;recordedBy;1
countryCode;gbif;countryCode;1
eventDate;gbif;eventDate;1
dateIdentified;gbif;dateIdentified;1
identifiedBy;gbif;identifiedBy;1
day;gbif;day;1
specificEpithet;gbif;specificEpithet;1
family;gbif;family;1
behavior;gbif;behavior;1
reproductiveCondition;gbif;reproductiveCondition;1
locality;gbif;locality;1
gbifID;gbif;gbifID;1
genus;gbif;genus;1
genericName;gbif;genericName;1
collectionCode;gbif;collectionCode;1
institutionCode;gbif;institutionCode;1
infraspecificEpithet;gbif;infraspecificEpithet;1
catalogNumber;gbif;catalogNumber;1
decimalLatitude;gbif;decimalLatitude;1
decimalLongitude;gbif;decimalLongitude;1
stateProvince;gbif;stateProvince;1
month;gbif;month;1
county;gbif;county;1
municipality;gbif;municipality;1
scientificName;gbif;scientificName;1
species;gbif;species;1
eventRemarks;gbif;eventRemarks;1
fieldNotes;gbif;fieldNotes;1
occurrenceRemarks;gbif;occurrenceRemarks;1
taxonRemarks;gbif;taxonRemarks;1
habitat;gbif;habitat;1
identificationRemarks;gbif;identificationRemarks;1
locationRemarks;gbif;locationRemarks;1
typeStatus;gbif;typeStatus;1
vernacularName;gbif;vernacularName;1
maximumelevation;splink;maximumElevationInMeters;1
minimumelevation;splink;minimumElevationInMeters;1
yearcollected;splink;year;1
yearidentified;splink;yearIdentified;1
collectornumber;splink;recordNumber;1
collector;splink;recordedBy;1
country;splink;country;1
identifiedby;splink;identifiedBy;1
daycollected;splink;day;1
dayidentified;splink;dayIdentified;1
family;splink;family;1
locality;splink;verbatimLocality;1
genus;splink;genus;1
collectioncode;splink;collectionCode;1
institutioncode;splink;institutionCode;1
subspecies;splink;subspecies;1
catalognumber;splink;catalogNumber;1
latitude;splink;decimalLatitude;1
latitude_mun;splink;decimalLatitudeMunicipality;1
longitude;splink;decimalLongitude;1
longitude_mun;splink;decimalLongitudeMunicipality;1
stateprovince;splink;stateProvince;1
monthcollected;splink;month;1
monthidentified;splink;monthIdentified;1
county;splink;county;1
scientificname;splink;scientificName;1
species;splink;specificEpithet;1
scientificnameauthor;splink;scientificNameAuthorship;1
notes;splink;occurrenceRemarks ou fieldNotes;1
typestatus;splink;typeStatus;1
Family;kew;family;1
Current.Name;kew;scientificName;1
Collector;kew;recordedBy;1
Collector.no;kew;recordNumber;1
Collection.Date;kew;eventDate;1
Country;kew;country;1
Location;kew;locationRemarks;1
Type.Status;kew;typeStatus;1
Phenology;kew;behavior;1
Plant.Parts;kew;eventRemarks2;1
Project;kew;eventRemarks3;1
Habitat;kew;habitat;1
Plant.Description;kew;occurrenceRemarks;1
Barcode;kew;barCode;1
Typo;kew;verbatimType;1
latidude;kew;decimalLatitude;1
longitude;kew;decimalLongitude;1
maximumElevationInMeters;nybg;maximumElevationInMeters;1
minimumElevationInMeters;nybg;minimumElevationInMeters;1
identificationQualifier;nybg;identificationQualifier;1
recordNumber;nybg;recordNumber;1
recordedBy;nybg;recordedBy;1
country;nybg;country;1
eventDate;nybg;eventDate;1
dateIdentified;nybg;dateIdentified;1
identifiedBy;nybg;identifiedBy;1
specificEpithet;nybg;specificEpithet;1
family;nybg;family;1
locality;nybg;locality;1
genus;nybg;genus;1
datasetName;nybg;datasetName;1
institutionCode;nybg;institutionCode;1
infraspecificEpithet;nybg;infraspecificEpithet;1
catalogNumber;nybg;catalogNumber;1
decimalLatitude;nybg;decimalLatitude;1
decimalLongitude;nybg;decimalLongitude;1
stateProvince;nybg;stateProvince;1
county;nybg;county;1
scientificName;nybg;scientificName;1
scientificNameAuthorship;nybg;scientificNameAuthorship;1
taxonRank;nybg;taxonRank;1
typeStatus;nybg;typeStatus;1
occurrenceDetails;nybg;occurrenceDetails;1
maximumElevationInMeters;jabotrb;maximumElevationInMeters;1
minimumElevationInMeters;jabotrb;minimumElevationInMeters;1
year;jabotrb;year;1
identificationQualifier;jabotrb;identificationQualifier;1
catalogNumber;jabotrb;catalogNumber;1
recordNumber;jabotrb;recordNumber;1
recordedBy;jabotrb;recordedBy;1
country;jabotrb;country;1
eventDate;jabotrb;eventDate;1
dateIdentified;jabotrb;dateIdentified;1
